VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
1,2022-04-08 10:28:13,2022-04-08 10:41:23,1.0,2.4,1.0,N,236,166,2,11.5,2.5,0.5,4.4,0.0,0.3,19.2,2.5,0.0
2,2022-04-08 12:27:40,2022-04-08 13:00:50,1.0,11.62,1.0,N,264,230,2,34.5,0.0,0.5,6.84,6.55,0.3,52.44,2.5,1.25
2,2022-04-08 12:28:14,2022-04-08 13:36:43,2.0,20.6,2.0,N,132,87,2,52.0,0.0,0.5,5.0,6.55,0.3,68.1,2.5,1.25
2,2022-04-08 13:07:21,2022-04-08 13:23:20,2.0,2.21,1.0,N,107,231,3,12.0,0.0,0.5,0.0,0.0,0.3,15.3,2.5,0.0
2,2022-04-08 14:39:04,2022-04-08 15:05:10,2.0,3.79,1.0,N,239,234,2,18.0,0.0,0.5,4.26,0.0,0.3,25.56,2.5,0.0
1,2022-04-08 14:30:28,2022-04-08 14:44:08,1.0,1.7,1.0,N,237,48,2,10.5,2.5,0.5,2.2,0.0,0.3,16.0,2.5,0.0
2,2022-04-08 14:07:44,2022-04-08 14:50:27,1.0,13.88,3.0,N,13,264,2,61.5,0.0,0.0,18.39,11.75,0.3,91.94,0.0,0.0
1,2022-04-08 16:45:56,2022-04-08 16:57:59,2.0,2.0,1.0,N,142,161,2,10.0,3.5,0.5,2.86,0.0,0.3,17.16,2.5,0.0
1,2022-04-08 18:29:15,2022-04-08 18:32:23,1.0,1.2,1.0,N,236,75,3,5.5,3.5,0.5,0.0,0.0,0.3,9.8,2.5,0.0
2,2022-04-08 18:56:24,2022-04-08 19:02:29,1.0,0.71,1.0,N,100,164,2,5.5,1.0,0.5,1.96,0.0,0.3,11.76,2.5,0.0
1,2022-04-08 19:02:13,2022-04-08 19:08:59,1.0,0.8,1.0,N,79,79,2,6.0,3.5,0.5,2.05,0.0,0.3,12.35,2.5,0.0
2,2022-04-08 19:09:42,2022-04-08 19:26:18,1.0,1.96,1.0,N,125,4,2,12.5,1.0,0.5,2.0,0.0,0.3,18.8,2.5,0.0
2,2022-04-08 20:18:05,2022-04-08 20:26:19,1.0,0.65,1.0,N,249,113,2,6.5,0.5,0.5,2.06,0.0,0.3,12.36,2.5,0.0
2,2022-04-08 21:59:18,2022-04-08 22:38:59,1.0,8.1,1.0,N,79,181,2,31.0,0.5,0.5,6.96,0.0,0.3,41.76,2.5,0.0
